long,lat,group,party,over_under
-85.07006728,31.98070336,AL.1,R,U
-85.11515028,31.90742436,AL.1,R,U
-85.13556728,31.85488436,AL.1,R,U
-85.13156128,31.78381436,AL.1,R,U
-85.13016528,31.77885336,AL.1,R,U
-85.11528728,31.73156636,AL.1,R,U
-85.11867428,31.70857136,AL.1,R,U
-85.11120528,31.68424236,AL.1,R,U
-85.05928528,31.62126536,AL.1,R,U
-85.04272128,31.55438936,AL.1,R,U
-85.04269828,31.51966036,AL.1,R,U
-85.06631228,31.47608936,AL.1,R,U
-85.06140628,31.44066336,AL.1,R,U
-85.08794228,31.36723436,AL.1,R,U
-85.08256328,31.33233436,AL.1,R,U
-85.08122828,31.30308036,AL.1,R,U
-85.10336128,31.27143636,AL.1,R,U
-85.09360328,31.22707436,AL.1,R,U
-85.10295728,31.19692236,AL.1,R,U
-85.09336728,31.17221136,AL.1,R,U
-85.06866228,31.16236436,AL.1,R,U
-85.03806828,31.12671336,AL.1,R,U
-85.01699528,31.08010236,AL.1,R,U
-85.00160728,31.00125336,AL.1,R,U
-85.48501028,31.00100136,AL.1,R,U
-85.48659728,31.00099836,AL.1,R,U
-86.03182228,30.99332736,AL.1,R,U
-86.18147628,30.99522536,AL.1,R,U
-86.38391928,30.99153836,AL.1,R,U
-86.70185228,30.99809236,AL.1,R,U
-86.77936128,30.99819136,AL.1,R,U
-87.16311728,31.00315736,AL.1,R,U
-87.59858028,31.00263036,AL.1,R,U
-87.589867280000007,30.95436136,AL.1,R,U
-87.62571128,30.87690236,AL.1,R,U
-87.61591528,30.84829636,AL.1,R,U
-87.54190028,30.78569536,AL.1,R,U
-87.52660328,30.74849136,AL.1,R,U
-87.46014028,30.70580236,AL.1,R,U
-87.41889428,30.69281036,AL.1,R,U
-87.39864528,30.66801536,AL.1,R,U
-87.39328128,30.62009836,AL.1,R,U
-87.42206728,30.55649336,AL.1,R,U
-87.44535328,30.53138936,AL.1,R,U
-87.41881628,30.48170036,AL.1,R,U
-87.40525128,30.44036036,AL.1,R,U
-87.46644028,30.35972136,AL.1,R,U
-87.58756828,30.31925436,AL.1,R,U
-87.59340528,30.27841536,AL.1,R,U
-87.79533028,30.23393136,AL.1,R,U
-88.00256028,30.23360436,AL.1,R,U
-87.77994128,30.27263836,AL.1,R,U
-87.75750328,30.29942236,AL.1,R,U
-87.90346528,30.42129636,AL.1,R,U
-87.91338528,30.62118436,AL.1,R,U
-88.01978928,30.74419036,AL.1,R,U
-88.13568128,30.33715836,AL.1,R,U
-88.32032628,30.40429336,AL.1,R,U
-88.40141528,30.39355136,AL.1,R,U
-88.41724228,30.73645736,AL.1,R,U
-88.42919928,31.00069536,AL.1,R,U
-88.43456328,31.12087936,AL.1,R,U
-88.45080328,31.43561736,AL.1,R,U
-88.46509728,31.70224536,AL.1,R,U
-88.47295228,31.88887636,AL.1,R,U
-88.43772428,32.22775536,AL.1,R,U
-88.42579228,32.30922436,AL.1,R,U
-88.39383228,32.58047036,AL.1,R,U
-88.34804128,32.92475836,AL.1,R,U
-88.33946628,32.98749736,AL.1,R,U
-88.30482928,33.28889436,AL.1,R,U
-88.27458628,33.53880136,AL.1,R,U
-88.24819528,33.74272636,AL.1,R,U
-88.20264428,34.05912236,AL.1,R,U
-88.19934928,34.09044836,AL.1,R,U
-88.16761328,34.32414736,AL.1,R,U
-88.15125628,34.46527336,AL.1,R,U
-88.13640128,34.58049736,AL.1,R,U
-88.09046828,34.89562936,AL.1,R,U
-88.10888628,34.89993636,AL.1,R,U
-88.14310528,34.93031236,AL.1,R,U
-88.19399328,35.00445336,AL.1,R,U
-88.19496228,35.01354436,AL.1,R,U
-87.98607828,35.01603336,AL.1,R,U
-87.60781328,35.01054636,AL.1,R,U
-87.22276428,35.00734636,AL.1,R,U
-87.20758828,35.00796036,AL.1,R,U
-86.83342228,34.99824636,AL.1,R,U
-86.78237228,34.99707536,AL.1,R,U
-86.31305228,34.99527336,AL.1,R,U
-86.30350028,34.99546436,AL.1,R,U
-85.86956728,34.99238436,AL.1,R,U
-85.60896028,34.99016436,AL.1,R,U
-85.58305828,34.86232236,AL.1,R,U
-85.53469228,34.62248836,AL.1,R,U
-85.52583428,34.58468536,AL.1,R,U
-85.51185628,34.52301436,AL.1,R,U
-85.46028628,34.29016136,AL.1,R,U
-85.41656728,34.08692036,AL.1,R,U
-85.39573828,33.95982936,AL.1,R,U
-85.38401128,33.90540936,AL.1,R,U
-85.33528728,33.65492336,AL.1,R,U
-85.30498028,33.49059436,AL.1,R,U
-85.29382528,33.42587536,AL.1,R,U
-85.23384628,33.12923736,AL.1,R,U
-85.23350328,33.12013936,AL.1,R,U
-85.18071928,32.87181336,AL.1,R,U
-85.16230128,32.80744536,AL.1,R,U
-85.12809028,32.77707036,AL.1,R,U
-85.13330028,32.75631536,AL.1,R,U
-85.12488528,32.74438336,AL.1,R,U
-85.11386828,32.73438936,AL.1,R,U
-85.10773328,32.68997236,AL.1,R,U
-85.09047528,32.67615236,AL.1,R,U
-85.10380328,32.64591036,AL.1,R,U
-85.08632428,32.62845136,AL.1,R,U
-85.08414928,32.60300436,AL.1,R,U
-85.07077428,32.58125336,AL.1,R,U
-84.99565228,32.51892836,AL.1,R,U
-84.98981528,32.45483636,AL.1,R,U
-84.96538528,32.42945036,AL.1,R,U
-84.97096228,32.39681236,AL.1,R,U
-84.98448928,32.38709336,AL.1,R,U
-84.97166328,32.37150336,AL.1,R,U
-85.00209028,32.34707836,AL.1,R,U
-85.00533228,32.32959236,AL.1,R,U
-84.92107128,32.29313736,AL.1,R,U
-84.89460328,32.26873536,AL.1,R,U
-84.89401628,32.25917636,AL.1,R,U
-84.90536128,32.24955536,AL.1,R,U
-84.92367928,32.24738936,AL.1,R,U
-84.91600428,32.22855636,AL.1,R,U
-84.92837128,32.21797836,AL.1,R,U
-84.97574428,32.21224836,AL.1,R,U
-84.96038528,32.19192836,AL.1,R,U
-85.00782628,32.17887836,AL.1,R,U
-85.02438228,32.16627536,AL.1,R,U
-85.05331328,32.12663736,AL.1,R,U
-85.04618728,32.09089536,AL.1,R,U
-85.05665528,32.06964436,AL.1,R,U
-85.06201028,32.05001036,AL.1,R,U
-85.05670028,32.01737636,AL.1,R,U
-85.07006728,31.98070336,AL.1,R,U
-119.52917749,25.82114788,AK.1,R,U
-119.53979427,25.81002544,AK.1,R,U
-119.53447423,25.79446079,AK.1,R,U
-119.62089494,25.75456601,AK.1,R,U
-119.6084018,25.77790348,AK.1,R,U
-119.61498869,25.79039234,AK.1,R,U
-119.61958595,25.7729255,AK.1,R,U
-119.69866131,25.79797212,AK.1,R,U
-119.64298621,25.79562009,AK.1,R,U
-119.59118173,25.85098414,AK.1,R,U
-119.61453847,25.84545959,AK.1,R,U
-119.61157098,25.9189589,AK.1,R,U
-119.62257566,25.94329009,AK.1,R,U
-119.56312163,25.96926107,AK.1,R,U
-119.61908183,25.97684021,AK.1,R,U
-119.62344227,25.9561057,AK.1,R,U
-119.6453333,25.99039748,AK.1,R,U
-119.65179452,26.04159932,AK.1,R,U
-119.64063981,26.05468575,AK.1,R,U
-119.64039335,26.02958097,AK.1,R,U
-119.62996281,26.08281865,AK.1,R,U
-119.57640776,26.1256184,AK.1,R,U
-119.65682613,26.35432902,AK.1,R,U
-119.64599559,26.38681883,AK.1,R,U
-119.65405474,26.40853272,AK.1,R,U
-119.63303282,26.4259802,AK.1,R,U
-119.65872753,26.42516922,AK.1,R,U
-119.65872502,26.39664409,AK.1,R,U
-119.67528289,26.3874878,AK.1,R,U
-119.66905598,26.41424008,AK.1,R,U
-119.69179284,26.45095711,AK.1,R,U
-119.63591518,26.52957871,AK.1,R,U
-119.63222204,26.55915483,AK.1,R,U
-119.56265481,26.60205082,AK.1,R,U
-119.60289347,26.58755427,AK.1,R,U
-119.61390428,26.61883424,AK.1,R,U
-119.61093699,26.58471338,AK.1,R,U
-119.63957457,26.57202032,AK.1,R,U
-119.68010956,26.50110021,AK.1,R,U
-119.67862592,26.48137585,AK.1,R,U
-119.71569521,26.46489595,AK.1,R,U
-119.70953504,26.4362046,AK.1,R,U
-119.73663573,26.43983649,AK.1,R,U
-119.69219802,26.40723882,AK.1,R,U
-119.71156872,26.33440938,AK.1,R,U
-119.75784044,26.33893369,AK.1,R,U
-119.7727887,26.31341094,AK.1,R,U
-119.8833442,26.27649339,AK.1,R,U
-120.02506202,26.29576614,AK.1,R,U
-120.04060676,26.34126011,AK.1,R,U
-120.01735225,26.36157867,AK.1,R,U
-120.07227571,26.40251447,AK.1,R,U
-120.10810572,26.47357029,AK.1,R,U
-120.10189777,26.499986410000002,AK.1,R,U
-120.1277676,26.48821433,AK.1,R,U
-120.17880155,26.53392919,AK.1,R,U
-120.18848374,26.55658096,AK.1,R,U
-120.16507175,26.56216529,AK.1,R,U
-120.15275715,26.59200746,AK.1,R,U
-120.20505174,26.57915896,AK.1,R,U
-120.23466786,26.60586099,AK.1,R,U
-120.14762905,26.6542034,AK.1,R,U
-120.14774096,26.6879959,AK.1,R,U
-120.11442009,26.70736899,AK.1,R,U
-120.12195228,26.74186386,AK.1,R,U
-120.10734101,26.7160256,AK.1,R,U
-120.06848355,26.72921251,AK.1,R,U
-120.08216156,26.70549744,AK.1,R,U
-120.075979,26.69384353,AK.1,R,U
-120.0060871,26.67210022,AK.1,R,U
-120.00167403,26.63375371,AK.1,R,U
-120.04843763,26.58444499,AK.1,R,U
-119.94577618,26.66487201,AK.1,R,U
-119.92142694,26.64814085,AK.1,R,U
-119.92888712,26.58378593,AK.1,R,U
-119.85874486,26.61601854,AK.1,R,U
-119.85844189,26.64495402,AK.1,R,U
-119.8471713,26.64360573,AK.1,R,U
-119.93901376,26.69266827,AK.1,R,U
-119.86804708,26.70044189,AK.1,R,U
-119.90255279,26.72169636,AK.1,R,U
-119.88492915,26.74315319,AK.1,R,U
-119.94421041,26.69450354,AK.1,R,U
-120.05596989,26.70402006,AK.1,R,U
-120.06631248,26.73630255,AK.1,R,U
-120.10813326,26.74842105,AK.1,R,U
-120.12027835,26.7519708,AK.1,R,U
-120.13086966,26.7461215,AK.1,R,U
-120.14814562,26.73660337,AK.1,R,U
-120.15389809,26.74382911,AK.1,R,U
-120.16690573,26.76021491,AK.1,R,U
-120.07961483,26.81056954,AK.1,R,U
-120.1214668,26.81591463,AK.1,R,U
-120.13446112,26.79535654,AK.1,R,U
-120.15609349,26.82422789,AK.1,R,U
-120.1283036,26.85614516,AK.1,R,U
-120.13953336,26.87556112,AK.1,R,U
-120.13187262,26.85755663,AK.1,R,U
-120.14790586,26.83628307,AK.1,R,U
-120.18536639,26.85859801,AK.1,R,U
-120.15178191,26.87977103,AK.1,R,U
-120.14678303,26.90331463,AK.1,R,U
-120.15682251,26.90627564,AK.1,R,U
-120.13624807,26.916205,AK.1,R,U
-120.13195771,26.9388315,AK.1,R,U
-120.07160392,26.96292195,AK.1,R,U
-120.04026381,27.01183411,AK.1,R,U
-120.13286344,26.94492643,AK.1,R,U
-120.16206524,26.90911681,AK.1,R,U
-120.15369798,26.88443956,AK.1,R,U
-120.1917816,26.86236908,AK.1,R,U
-120.18279157,26.84082128,AK.1,R,U
-120.19393545,26.80732378,AK.1,R,U
-120.23292666,26.82916865,AK.1,R,U
-120.23391293,26.87929303,AK.1,R,U
-120.22412596,26.89534959,AK.1,R,U
-120.26859416,26.91951354,AK.1,R,U
-120.27264974,26.95470425,AK.1,R,U
-120.24357739,26.96862724,AK.1,R,U
-120.24237017,26.99343827,AK.1,R,U
-120.25781522,27.00944771,AK.1,R,U
-120.30455621,26.99252951,AK.1,R,U
-120.31110817,27.03011732,AK.1,R,U
-120.29629682,27.07838717,AK.1,R,U
-120.29707903,27.04668081,AK.1,R,U
-120.22582088,27.05910919,AK.1,R,U
-120.26606312,27.07977208,AK.1,R,U
-120.27787499,27.11702493,AK.1,R,U
-120.18401277,27.11904691,AK.1,R,U
-120.20463449,27.1784674,AK.1,R,U
-120.18709186,27.22472277,AK.1,R,U
-120.04918652,27.37451481,AK.1,R,U
-120.01114903,27.37226712,AK.1,R,U
-120.01232501,27.34684634,AK.1,R,U
-119.97180474,27.32636362,AK.1,R,U
-120.00102349,27.30578567,AK.1,R,U
-119.96604046,27.32316556,AK.1,R,U
-119.98203733,27.34083576,AK.1,R,U
-119.97131492,27.3581665,AK.1,R,U
-120.00852224,27.35052079,AK.1,R,U
-119.99728212,27.373001,AK.1,R,U
