long,lat,group,party,over_under
1225888.81599505,-1275019.84707482,1001.1,R,U
1244872.88606419,-1272331.28501513,1001.1,R,U
1244128.94250101,-1267515.26583993,1001.1,R,U
1272010.22884095,-1262888.86590864,1001.1,R,U
1276796.6958659,-1295514.40190373,1001.1,R,U
1272366.85962918,-1296729.85866223,1001.1,R,U
1269840.78576142,-1303980.4405795,1001.1,R,U
1254456.74799342,-1300496.6473542,1001.1,R,U
1242621.5041242,-1302888.13451636,1001.1,R,U
1240621.94294565,-1312454.96559285,1001.1,R,U
1240271.80830953,-1309051.87566357,1001.1,R,U
1228830.79626644,-1288858.83149535,1001.1,R,U
1225888.81599505,-1275019.84707482,1001.1,R,U
1148571.4798359,-1500233.58446846,1003.1,R,U
1155371.06510433,-1491049.44901609,1003.1,R,U
1151084.13659949,-1484969.77217856,1003.1,R,U
1155847.85392396,-1478879.89696184,1003.1,R,U
1151532.50929251,-1475872.6461696,1003.1,R,U
1152738.20188037,-1466724.46221218,1003.1,R,U
1148859.79339874,-1462649.97794327,1003.1,R,U
1151507.83886595,-1455830.19395621,1003.1,R,U
1148199.08547798,-1454570.50919715,1003.1,R,U
1150282.33037893,-1450898.46704798,1003.1,R,U
1153476.62896444,-1451069.17559735,1003.1,R,U
1164278.58316541,-1438847.49351374,1003.1,R,U
1162110.64624109,-1435127.09159946,1003.1,R,U
1166031.65365979,-1436986.21156096,1003.1,R,U
1170442.00251304,-1435705.82821693,1003.1,R,U
1180867.45386347,-1440755.6754707,1003.1,R,U
1184161.92653671,-1466742.0386959,1003.1,R,U
1185887.08643445,-1467642.93488336,1003.1,R,U
1185876.8434593,-1467644.44362076,1003.1,R,U
1187161.05670077,-1472595.17863705,1003.1,R,U
1184265.7196633,-1482582.60569027,1003.1,R,U
1194421.80991656,-1492100.41079295,1003.1,R,U
1196596.82647614,-1495045.84179191,1003.1,R,U
1204962.38991108,-1498919.04201681,1003.1,R,U
1209460.06783615,-1502220.22680345,1003.1,R,U
1210098.53387057,-1508029.74776053,1003.1,R,U
1207966.54622382,-1514393.54787974,1003.1,R,U
1207292.90424213,-1519271.92437119,1003.1,R,U
1210850.80858419,-1524357.92085978,1003.1,R,U
1215723.32898465,-1525946.55172902,1003.1,R,U
1209966.81287629,-1530532.66522145,1003.1,R,U
1208824.21524404,-1537303.11511356,1003.1,R,U
1203387.25612459,-1545209.92023328,1003.1,R,U
1190555.16219756,-1550501.90212182,1003.1,R,U
1175344.18155084,-1555068.30491047,1003.1,R,U
1168084.54104299,-1554878.26829143,1003.1,R,U
1175843.54738303,-1549250.24939248,1003.1,R,U
1176182.14469093,-1544245.36895301,1003.1,R,U
1168863.49875288,-1538670.95464041,1003.1,R,U
1163337.94395951,-1532454.05709723,1003.1,R,U
1160956.06519593,-1528189.48337838,1003.1,R,U
1163130.66124463,-1520790.7672889,1003.1,R,U
1161401.47988856,-1517125.92161718,1003.1,R,U
1158976.59513667,-1510009.83650331,1003.1,R,U
1151182.90257877,-1507504.34981383,1003.1,R,U
1148571.4798359,-1500233.58446846,1003.1,R,U
1352205.99038517,-1371303.85527205,1005.1,R,U
1356331.01328595,-1353936.49822558,1005.1,R,U
1355398.29313798,-1342025.41186591,1005.1,R,U
1360064.64532332,-1328071.99214477,1005.1,R,U
1374590.41408418,-1323603.00380165,1005.1,R,U
1374118.23645391,-1308871.1200493,1005.1,R,U
1388277.79353909,-1306267.69764311,1005.1,R,U
1396490.95066052,-1314533.36897761,1005.1,R,U
1408923.96366885,-1312280.17180012,1005.1,R,U
1408977.80307061,-1320195.68581172,1005.1,R,U
1408995.7438459,-1322950.22734437,1005.1,R,U
1405932.00527382,-1331819.4546999,1005.1,R,U
1404243.97465224,-1338204.34837072,1005.1,R,U
1406413.7006726,-1344459.64660781,1005.1,R,U
1407050.56924326,-1346295.26388109,1005.1,R,U
1399587.55998085,-1354416.889723,1005.1,R,U
1380812.94493461,-1357196.62226896,1005.1,R,U
1382202.82000547,-1366760.21134554,1005.1,R,U
1351135.63498008,-1372207.92898191,1005.1,R,U
1352205.99038517,-1371303.85527205,1005.1,R,U
1174171.78501313,-1244842.05743291,1007.1,R,U
1183696.24651785,-1243104.00479417,1007.1,R,U
1185225.98248854,-1228648.98660793,1007.1,R,U
1192890.82949696,-1227759.55073133,1007.1,R,U
1191934.8083764,-1220514.38509165,1007.1,R,U
1203490.48512156,-1213103.10633283,1007.1,R,U
1207081.65012478,-1212601.61374747,1007.1,R,U
1208402.59371727,-1221448.53567846,1007.1,R,U
1223471.92472383,-1232121.28853109,1007.1,R,U
1227155.63640433,-1255518.93414517,1007.1,R,U
1213896.55482903,-1257481.67657718,1007.1,R,U
1186176.12231294,-1262309.03279086,1007.1,R,U
1185516.06296423,-1257521.08422518,1007.1,R,U
1176099.24748191,-1258997.35545638,1007.1,R,U
1174171.78501313,-1244842.05743291,1007.1,R,U
1203691.39319003,-1144458.82041147,1009.1,R,U
1206477.84606861,-1138298.7814954,1009.1,R,U
1217738.22782751,-1131725.84598689,1009.1,R,U
1225982.82417679,-1118391.97736334,1009.1,R,U
1224817.52175431,-1114838.44093356,1009.1,R,U
1232720.29975067,-1110587.00639968,1009.1,R,U
